Symbol
RELIANCE.NS
TCS.NS
HDFCBANK.NS
BHARTIARTL.NS
ICICIBANK.NS
INFY.NS
SBIN.NS
LICI.NS
ITC.NS
LT.NS
HINDUNILVR.NS
BAJFINANCE.NS
KOTAKBANK.NS
HCLTECH.NS
SUNPHARMA.NS
MARUTI.NS
AXISBANK.NS
TITAN.NS
ULTRACEMCO.NS
WIPRO.NS
NTPC.NS
POWERGRID.NS
ASIANPAINT.NS
NESTLEIND.NS
M&M.NS
BAJAJFINSV.NS
ADANIENT.NS
ADANIPORTS.NS
TATAMOTORS.NS
TATASTEEL.NS
JSWSTEEL.NS
COALINDIA.NS
ONGC.NS
GRASIM.NS
TECHM.NS
INDUSINDBK.NS
DRREDDY.NS
CIPLA.NS
EICHERMOT.NS
HEROMOTOCO.NS
HDFCLIFE.NS
SBILIFE.NS
DIVISLAB.NS
BRITANNIA.NS
APOLLOHOSP.NS
BPCL.NS
UPL.NS
SHRIRAMFIN.NS
BAJAJ-AUTO.NS
HINDALCO.NS
