Symbol
SHEL.L
HSBA.L
AZN.L
ULVR.L
BP.L
RIO.L
GSK.L
DGE.L
REL.L
NG.L
LSEG.L
BARC.L
VOD.L
GLEN.L
PRU.L
LLOY.L
BT-A.L
AAL.L
IMB.L
BA.L
SMIN.L
CNA.L
SSE.L
ABF.L
MNG.L
RKT.L
STAN.L
ADM.L
AUTO.L
HLN.L
INF.L
EXPN.L
AV.L
CPG.L
CRDA.L
PSN.L
PHNX.L
SPX.L
WTB.L
BEZ.L
LAND.L
SGE.L
RTO.L
RR.L
DCC.L
HIK.L
TSCO.L
JD.L
ENT.L
BATS.L
