Symbol
AAPL
MSFT
NVDA
AMZN
GOOGL
META
TSLA
BRK-B
JPM
V
MA
UNH
HD
PG
XOM
LLY
AVGO
COST
MRK
ABBV
PEP
KO
ADBE
CRM
WMT
NFLX
BAC
AMD
CVX
TMO
ACN
MCD
ABT
DHR
LIN
INTC
WFC
CSCO
TXN
QCOM
IBM
GE
CAT
AMGN
INTU
DIS
GS
BKNG
NOW
SPGI
